Gate_to_Gate_Ratio, NP_Ratio_1, NP_Ratio_2, Buffer_Gate_Delay
             2.100,      1.100,      1.000, 3.10E+00
             2.100,      1.200,      1.000, 3.10E+00
             2.100,      1.300,      1.000, 3.10E+00
             2.100,      1.400,      1.000, 3.10E+00
             2.100,      1.500,      1.000, 3.10E+00
             2.100,      1.600,      1.000, 3.10E+00
             2.100,      1.700,      1.000, 3.10E+00
             2.100,      1.800,      1.000, 3.10E+00
             2.100,      1.900,      1.000, 3.10E+00
             2.100,      1.000,      1.100, 3.20E+00
             2.100,      1.100,      1.100, 3.20E+00
             2.100,      1.200,      1.100, 3.20E+00
             2.100,      1.300,      1.100, 3.20E+00
             2.100,      1.400,      1.100, 3.20E+00
             2.100,      1.500,      1.100, 3.20E+00
             2.100,      1.600,      1.100, 3.20E+00
             2.100,      1.700,      1.100, 3.20E+00
             2.100,      1.800,      1.100, 3.20E+00
             2.100,      1.900,      1.100, 3.20E+00
             2.100,      1.000,      1.200, 3.30E+00
             2.100,      1.100,      1.200, 3.30E+00
             2.100,      1.200,      1.200, 3.30E+00
             2.100,      1.300,      1.200, 3.30E+00
             2.100,      1.400,      1.200, 3.30E+00
             2.100,      1.500,      1.200, 3.30E+00
             2.100,      1.600,      1.200, 3.30E+00
             2.100,      1.700,      1.200, 3.30E+00
             2.100,      1.800,      1.200, 3.30E+00
             2.100,      1.900,      1.200, 3.30E+00
             2.100,      1.000,      1.300, 3.40E+00
             2.100,      1.100,      1.300, 3.40E+00
             2.100,      1.200,      1.300, 3.40E+00
             2.100,      1.300,      1.300, 3.40E+00
             2.100,      1.400,      1.300, 3.40E+00
             2.100,      1.500,      1.300, 3.40E+00
             2.100,      1.600,      1.300, 3.40E+00
             2.100,      1.700,      1.300, 3.40E+00
             2.100,      1.800,      1.300, 3.40E+00
             2.100,      1.900,      1.300, 3.40E+00
             2.100,      1.000,      1.400, 3.50E+00
             2.100,      1.100,      1.400, 3.50E+00
             2.100,      1.200,      1.400, 3.50E+00
             2.100,      1.300,      1.400, 3.50E+00
             2.100,      1.400,      1.400, 3.50E+00
             2.100,      1.500,      1.400, 3.50E+00
             2.100,      1.600,      1.400, 3.50E+00
             2.100,      1.700,      1.400, 3.50E+00
             2.100,      1.800,      1.400, 3.50E+00
             2.100,      1.900,      1.400, 3.50E+00
             2.100,      1.000,      1.500, 3.60E+00
             2.100,      1.100,      1.500, 3.60E+00
             2.100,      1.200,      1.500, 3.60E+00
             2.100,      1.300,      1.500, 3.60E+00
             2.100,      1.400,      1.500, 3.60E+00
             2.100,      1.500,      1.500, 3.60E+00
             2.100,      1.600,      1.500, 3.60E+00
             2.100,      1.700,      1.500, 3.60E+00
